Dryadula phaetusa Banded Orange Heliconian
Heliconius charithonia Zebra Heliconian
Euptoieta claudia Variegated Fritillary
Speyeria cybele Great Spangled Fritillary
Limenitis arthemis Red-spotted Purple or White Admiral
Limenitis arthemis astyanax 'Astyanax' Red-spotted Purple
Limenitis archippus Viceroy
Asterocampa celtis Hackberry Emperor
Asterocampa clyton Tawny Emperor
Eunica tatila Florida Purplewing
Eunica monima Dingy Purplewing
Hamadryas amphichloe Pale Cracker
Hamadryas februa Gray Cracker
Marpesia chiron Many-banded Daggerwing
Marpesia petreus Ruddy Daggerwing
Marpesia eleuchea Antillean Daggerwing
Chlosyne nycteis Silvery Checkerspot
Phyciodes phaon Phaon Crescent
Phyciodes tharos Pearl Crescent
Anthanassa texana Texan Crescent
Anthanassa frisia Cuban Crescent
Hypolimnas misippus Mimic
Junonia coenia Common Buckeye
Junonia genoveva Mangrove Buckeye
Junonia evarete Tropical Buckeye
Junonia neildi West Indian Mangrove Buckeye
Anartia jatrophae White Peacock
Anartia chrysopelea Caribbean Peacock
Siproeta stelenes Malachite
Polygonia interrogationis Question Mark
Polygonia comma Eastern Comma
Nymphalis vaualbum Compton Tortoiseshell
Nymphalis antiopa Mourning Cloak
Vanessa virginiensis American Lady
Vanessa cardui Painted Lady
Vanessa atalanta Red Admiral
Anaea troglodyta floridalis Florida Leafwing
Anaea andria Goatweed Leafwing
Hermeuptychia intricata Intricate Satyr
Enodia portlandia Southern Pearly-eye
Enodia creola Creole Pearly-eye
Satyrodes appalachia Appalachian Brown
Cyllopsis gemma Gemmed Satyr
Neonympha areolatus Georgia Satyr
Megisto cymela Little Wood-Satyr
Megisto viola Viola's Wood-Satyr
Hermeuptychia sosybius Carolina Satyr
Cercyonis pegala Common Wood-Nymph
